Cause of death,Cause of death Code,Year,Deaths,Population,Crude Rate,Age Adjusted Rate
"Respiratory disorder, unspecified",J98.9,2014,11,11596998,0.1 (Unreliable),0.1 (Unreliable)
Oesophagitis,K20,2012,10,11551783,0.1 (Unreliable),0.1 (Unreliable)
Gastro-oesophageal reflux disease without oesophagitis,K21.9,2011,20,11545442,0.2,0.1
Gastro-oesophageal reflux disease without oesophagitis,K21.9,2012,24,11551783,0.2,0.2
Gastro-oesophageal reflux disease without oesophagitis,K21.9,2013,25,11572232,0.2,0.2
Gastro-oesophageal reflux disease without oesophagitis,K21.9,2014,27,11596998,0.2,0.2
Gastro-oesophageal reflux disease without oesophagitis,K21.9,2015,32,11613423,0.3,0.2
Achalasia of cardia,K22.0,2013,10,11572232,0.1 (Unreliable),0.1 (Unreliable)
Achalasia of cardia,K22.0,2015,14,11613423,0.1 (Unreliable),0.1 (Unreliable)
Oesophageal obstruction,K22.2,2011,22,11545442,0.2,0.2
Oesophageal obstruction,K22.2,2012,12,11551783,0.1 (Unreliable),0.1 (Unreliable)
Oesophageal obstruction,K22.2,2013,19,11572232,0.2 (Unreliable),0.1 (Unreliable)
Oesophageal obstruction,K22.2,2014,19,11596998,0.2 (Unreliable),0.1 (Unreliable)
Oesophageal obstruction,K22.2,2015,15,11613423,0.1 (Unreliable),0.1 (Unreliable)
Perforation of oesophagus,K22.3,2011,12,11545442,0.1 (Unreliable),0.1 (Unreliable)
Perforation of oesophagus,K22.3,2012,10,11551783,0.1 (Unreliable),0.1 (Unreliable)
Perforation of oesophagus,K22.3,2013,12,11572232,0.1 (Unreliable),0.1 (Unreliable)
Perforation of oesophagus,K22.3,2014,10,11596998,0.1 (Unreliable),0.1 (Unreliable)
Perforation of oesophagus,K22.3,2015,13,11613423,0.1 (Unreliable),0.1 (Unreliable)
Dyskinesia of oesophagus,K22.4,2014,11,11596998,0.1 (Unreliable),0.1 (Unreliable)
"Disease of oesophagus, unspecified",K22.9,2014,11,11596998,0.1 (Unreliable),0.1 (Unreliable)
"Gastric ulcer, chronic or unspecified with haemorrhage",K25.4,2011,18,11545442,0.2 (Unreliable),0.1 (Unreliable)
"Gastric ulcer, chronic or unspecified with haemorrhage",K25.4,2012,11,11551783,0.1 (Unreliable),0.1 (Unreliable)
"Gastric ulcer, chronic or unspecified with haemorrhage",K25.4,2013,17,11572232,0.1 (Unreliable),0.1 (Unreliable)
"Gastric ulcer, chronic or unspecified with haemorrhage",K25.4,2014,13,11596998,0.1 (Unreliable),0.1 (Unreliable)
"Gastric ulcer, chronic or unspecified with haemorrhage",K25.4,2015,12,11613423,0.1 (Unreliable),0.1 (Unreliable)
"Gastric ulcer, chronic or unspecified with perforation",K25.5,2011,15,11545442,0.1 (Unreliable),0.1 (Unreliable)
"Gastric ulcer, chronic or unspecified with perforation",K25.5,2012,16,11551783,0.1 (Unreliable),0.1 (Unreliable)
"Gastric ulcer, chronic or unspecified with perforation",K25.5,2013,13,11572232,0.1 (Unreliable),0.1 (Unreliable)
"Gastric ulcer, chronic or unspecified with perforation",K25.5,2014,18,11596998,0.2 (Unreliable),0.1 (Unreliable)
"Gastric ulcer, chronic or unspecified with perforation",K25.5,2015,22,11613423,0.2,0.2
"Gastric ulcer, unspecified as acute or chronic, without haemorrhage or perforation",K25.9,2015,10,11613423,0.1 (Unreliable),0.1 (Unreliable)
"Duodenal ulcer, chronic or unspecified with haemorrhage",K26.4,2011,16,11545442,0.1 (Unreliable),0.1 (Unreliable)
"Duodenal ulcer, chronic or unspecified with haemorrhage",K26.4,2012,13,11551783,0.1 (Unreliable),0.1 (Unreliable)
"Duodenal ulcer, chronic or unspecified with haemorrhage",K26.4,2013,20,11572232,0.2,0.1
"Duodenal ulcer, chronic or unspecified with haemorrhage",K26.4,2014,23,11596998,0.2,0.2
"Duodenal ulcer, chronic or unspecified with haemorrhage",K26.4,2015,26,11613423,0.2,0.2
"Duodenal ulcer, chronic or unspecified with perforation",K26.5,2011,17,11545442,0.1 (Unreliable),0.1 (Unreliable)
"Duodenal ulcer, chronic or unspecified with perforation",K26.5,2012,29,11551783,0.3,0.2
"Duodenal ulcer, chronic or unspecified with perforation",K26.5,2013,18,11572232,0.2 (Unreliable),0.1 (Unreliable)
"Duodenal ulcer, chronic or unspecified with perforation",K26.5,2014,18,11596998,0.2 (Unreliable),0.1 (Unreliable)
"Duodenal ulcer, chronic or unspecified with perforation",K26.5,2015,33,11613423,0.3,0.2
"Peptic ulcer, site unspecified, chronic or unspecified with haemorrhage",K27.4,2011,19,11545442,0.2 (Unreliable),0.1 (Unreliable)
"Peptic ulcer, site unspecified, chronic or unspecified with haemorrhage",K27.4,2012,19,11551783,0.2 (Unreliable),0.1 (Unreliable)
"Peptic ulcer, site unspecified, chronic or unspecified with haemorrhage",K27.4,2013,19,11572232,0.2 (Unreliable),0.1 (Unreliable)
"Peptic ulcer, site unspecified, chronic or unspecified with haemorrhage",K27.4,2014,20,11596998,0.2,0.1
"Peptic ulcer, site unspecified, chronic or unspecified with haemorrhage",K27.4,2015,19,11613423,0.2 (Unreliable),0.1 (Unreliable)
"Peptic ulcer, site unspecified, chronic or unspecified with perforation",K27.5,2013,10,11572232,0.1 (Unreliable),0.1 (Unreliable)
"Peptic ulcer, site unspecified, chronic or unspecified with perforation",K27.5,2014,12,11596998,0.1 (Unreliable),0.1 (Unreliable)
"Peptic ulcer, site unspecified, chronic or unspecified with perforation",K27.5,2015,10,11613423,0.1 (Unreliable),0.1 (Unreliable)
Adult hypertrophic pyloric stenosis,K31.1,2015,10,11613423,0.1 (Unreliable),0.1 (Unreliable)
Other specified diseases of stomach and duodenum,K31.8,2011,12,11545442,0.1 (Unreliable),0.1 (Unreliable)
Other specified diseases of stomach and duodenum,K31.8,2012,18,11551783,0.2 (Unreliable),0.1 (Unreliable)
Other specified diseases of stomach and duodenum,K31.8,2013,18,11572232,0.2 (Unreliable),0.1 (Unreliable)
Other specified diseases of stomach and duodenum,K31.8,2014,18,11596998,0.2 (Unreliable),0.1 (Unreliable)
Other specified diseases of stomach and duodenum,K31.8,2015,25,11613423,0.2,0.2
"Disease of stomach and duodenum, unspecified",K31.9,2011,10,11545442,0.1 (Unreliable),0.1 (Unreliable)
"Disease of stomach and duodenum, unspecified",K31.9,2014,12,11596998,0.1 (Unreliable),0.1 (Unreliable)
"Acute appendicitis, other and unspecified",K35.8,2013,15,11572232,0.1 (Unreliable),0.1 (Unreliable)
"Acute appendicitis, other and unspecified",K35.8,2014,10,11596998,0.1 (Unreliable),0.1 (Unreliable)
"Ventral hernia with obstruction, without gangrene",K43.0,2011,11,11545442,0.1 (Unreliable),0.1 (Unreliable)
"Ventral hernia with obstruction, without gangrene",K43.0,2014,13,11596998,0.1 (Unreliable),0.1 (Unreliable)
Diaphragmatic hernia without obstruction or gangrene,K44.9,2011,19,11545442,0.2 (Unreliable),0.1 (Unreliable)
Diaphragmatic hernia without obstruction or gangrene,K44.9,2012,20,11551783,0.2,0.1
Diaphragmatic hernia without obstruction or gangrene,K44.9,2013,26,11572232,0.2,0.2
Diaphragmatic hernia without obstruction or gangrene,K44.9,2014,16,11596998,0.1 (Unreliable),0.1 (Unreliable)
Diaphragmatic hernia without obstruction or gangrene,K44.9,2015,14,11613423,0.1 (Unreliable),0.1 (Unreliable)
"Unspecified abdominal hernia with obstruction, without gangrene",K46.0,2011,20,11545442,0.2,0.1
"Unspecified abdominal hernia with obstruction, without gangrene",K46.0,2012,15,11551783,0.1 (Unreliable),0.1 (Unreliable)
"Unspecified abdominal hernia with obstruction, without gangrene",K46.0,2013,21,11572232,0.2,0.1
"Unspecified abdominal hernia with obstruction, without gangrene",K46.0,2014,17,11596998,0.1 (Unreliable),0.1 (Unreliable)
"Unspecified abdominal hernia with obstruction, without gangrene",K46.0,2015,20,11613423,0.2,0.1
"Crohn's disease, unspecified",K50.9,2011,21,11545442,0.2,0.2
"Crohn's disease, unspecified",K50.9,2012,24,11551783,0.2,0.2
"Crohn's disease, unspecified",K50.9,2013,30,11572232,0.3,0.2
"Crohn's disease, unspecified",K50.9,2014,23,11596998,0.2,0.2
"Crohn's disease, unspecified",K50.9,2015,29,11613423,0.2,0.2
"Ulcerative colitis, unspecified",K51.9,2011,15,11545442,0.1 (Unreliable),0.1 (Unreliable)
"Ulcerative colitis, unspecified",K51.9,2012,11,11551783,0.1 (Unreliable),0.1 (Unreliable)
"Ulcerative colitis, unspecified",K51.9,2013,13,11572232,0.1 (Unreliable),0.1 (Unreliable)
"Ulcerative colitis, unspecified",K51.9,2014,16,11596998,0.1 (Unreliable),0.1 (Unreliable)
"Ulcerative colitis, unspecified",K51.9,2015,13,11613423,0.1 (Unreliable),0.1 (Unreliable)
"Noninfective gastroenteritis and colitis, unspecified",K52.9,2011,13,11545442,0.1 (Unreliable),0.1 (Unreliable)
"Noninfective gastroenteritis and colitis, unspecified",K52.9,2013,11,11572232,0.1 (Unreliable),0.1 (Unreliable)
"Noninfective gastroenteritis and colitis, unspecified",K52.9,2014,11,11596998,0.1 (Unreliable),0.1 (Unreliable)
Acute vascular disorders of intestine,K55.0,2011,99,11545442,0.9,0.7
Acute vascular disorders of intestine,K55.0,2012,81,11551783,0.7,0.6
Acute vascular disorders of intestine,K55.0,2013,66,11572232,0.6,0.5
Acute vascular disorders of intestine,K55.0,2014,59,11596998,0.5,0.4
Acute vascular disorders of intestine,K55.0,2015,60,11613423,0.5,0.4
Chronic vascular disorders of intestine,K55.1,2014,10,11596998,0.1 (Unreliable),0.1 (Unreliable)
Chronic vascular disorders of intestine,K55.1,2015,11,11613423,0.1 (Unreliable),0.1 (Unreliable)
"Vascular disorder of intestine, unspecified",K55.9,2011,274,11545442,2.4,2
"Vascular disorder of intestine, unspecified",K55.9,2012,299,11551783,2.6,2.1
"Vascular disorder of intestine, unspecified",K55.9,2013,243,11572232,2.1,1.7
"Vascular disorder of intestine, unspecified",K55.9,2014,293,11596998,2.5,2.1
"Vascular disorder of intestine, unspecified",K55.9,2015,282,11613423,2.4,1.9
Volvulus,K56.2,2011,27,11545442,0.2,0.2
Volvulus,K56.2,2012,30,11551783,0.3,0.2
Volvulus,K56.2,2013,34,11572232,0.3,0.3
Volvulus,K56.2,2014,24,11596998,0.2,0.2
Volvulus,K56.2,2015,26,11613423,0.2,0.2
Intestinal adhesions [bands] with obstruction,K56.5,2011,13,11545442,0.1 (Unreliable),0.1 (Unreliable)
Intestinal adhesions [bands] with obstruction,K56.5,2014,12,11596998,0.1 (Unreliable),0.1 (Unreliable)
Intestinal adhesions [bands] with obstruction,K56.5,2015,17,11613423,0.1 (Unreliable),0.1 (Unreliable)
Other and unspecified intestinal obstruction,K56.6,2011,206,11545442,1.8,1.5
Other and unspecified intestinal obstruction,K56.6,2012,209,11551783,1.8,1.5
Other and unspecified intestinal obstruction,K56.6,2013,241,11572232,2.1,1.7
Other and unspecified intestinal obstruction,K56.6,2014,222,11596998,1.9,1.5
Other and unspecified intestinal obstruction,K56.6,2015,234,11613423,2,1.6
"Ileus, unspecified",K56.7,2011,15,11545442,0.1 (Unreliable),0.1 (Unreliable)
"Ileus, unspecified",K56.7,2012,23,11551783,0.2,0.2
"Ileus, unspecified",K56.7,2013,11,11572232,0.1 (Unreliable),0.1 (Unreliable)
"Ileus, unspecified",K56.7,2014,12,11596998,0.1 (Unreliable),0.1 (Unreliable)
"Ileus, unspecified",K56.7,2015,14,11613423,0.1 (Unreliable),0.1 (Unreliable)
Diverticular disease of large intestine with perforation and abscess,K57.2,2011,10,11545442,0.1 (Unreliable),0.1 (Unreliable)
Diverticular disease of large intestine with perforation and abscess,K57.2,2012,16,11551783,0.1 (Unreliable),0.1 (Unreliable)
Diverticular disease of large intestine with perforation and abscess,K57.2,2015,12,11613423,0.1 (Unreliable),0.1 (Unreliable)
"Diverticular disease of intestine, part unspecified, with perforation and abscess",K57.8,2011,66,11545442,0.6,0.5
"Diverticular disease of intestine, part unspecified, with perforation and abscess",K57.8,2012,47,11551783,0.4,0.3
"Diverticular disease of intestine, part unspecified, with perforation and abscess",K57.8,2013,50,11572232,0.4,0.3
"Diverticular disease of intestine, part unspecified, with perforation and abscess",K57.8,2014,34,11596998,0.3,0.2
"Diverticular disease of intestine, part unspecified, with perforation and abscess",K57.8,2015,47,11613423,0.4,0.3
"Diverticular disease of intestine, part unspecified, without perforation or abscess",K57.9,2011,53,11545442,0.5,0.4
"Diverticular disease of intestine, part unspecified, without perforation or abscess",K57.9,2012,55,11551783,0.5,0.4
"Diverticular disease of intestine, part unspecified, without perforation or abscess",K57.9,2013,42,11572232,0.4,0.3
"Diverticular disease of intestine, part unspecified, without perforation or abscess",K57.9,2014,46,11596998,0.4,0.3
"Diverticular disease of intestine, part unspecified, without perforation or abscess",K57.9,2015,62,11613423,0.5,0.4
"Megacolon, not elsewhere classified",K59.3,2012,12,11551783,0.1 (Unreliable),0.1 (Unreliable)
Haemorrhage of anus and rectum,K62.5,2015,11,11613423,0.1 (Unreliable),0.1 (Unreliable)
Perforation of intestine (nontraumatic),K63.1,2011,87,11545442,0.8,0.6
Perforation of intestine (nontraumatic),K63.1,2012,105,11551783,0.9,0.8
Perforation of intestine (nontraumatic),K63.1,2013,130,11572232,1.1,0.9
Perforation of intestine (nontraumatic),K63.1,2014,115,11596998,1,0.8
Perforation of intestine (nontraumatic),K63.1,2015,122,11613423,1.1,0.8
Fistula of intestine,K63.2,2011,13,11545442,0.1 (Unreliable),0.1 (Unreliable)
Fistula of intestine,K63.2,2013,11,11572232,0.1 (Unreliable),0.1 (Unreliable)
"Disease of intestine, unspecified",K63.9,2011,22,11545442,0.2,0.2
"Disease of intestine, unspecified",K63.9,2012,23,11551783,0.2,0.2
"Disease of intestine, unspecified",K63.9,2013,24,11572232,0.2,0.2
"Disease of intestine, unspecified",K63.9,2014,31,11596998,0.3,0.2
"Disease of intestine, unspecified",K63.9,2015,24,11613423,0.2,0.2
Acute peritonitis,K65.0,2011,25,11545442,0.2,0.2
Acute peritonitis,K65.0,2012,41,11551783,0.4,0.3
Acute peritonitis,K65.0,2013,29,11572232,0.3,0.2
Acute peritonitis,K65.0,2014,29,11596998,0.3,0.2
Acute peritonitis,K65.0,2015,41,11613423,0.4,0.3
"Peritonitis, unspecified",K65.9,2011,27,11545442,0.2,0.2
"Peritonitis, unspecified",K65.9,2012,31,11551783,0.3,0.2
"Peritonitis, unspecified",K65.9,2013,33,11572232,0.3,0.2
"Peritonitis, unspecified",K65.9,2014,30,11596998,0.3,0.2
"Peritonitis, unspecified",K65.9,2015,34,11613423,0.3,0.2
Haemoperitoneum,K66.1,2013,11,11572232,0.1 (Unreliable),0.1 (Unreliable)
Haemoperitoneum,K66.1,2014,10,11596998,0.1 (Unreliable),0.1 (Unreliable)
Haemoperitoneum,K66.1,2015,17,11613423,0.1 (Unreliable),0.1 (Unreliable)
Alcoholic fatty liver,K70.0,2011,15,11545442,0.1 (Unreliable),0.1 (Unreliable)
Alcoholic fatty liver,K70.0,2012,26,11551783,0.2,0.2
Alcoholic fatty liver,K70.0,2013,26,11572232,0.2,0.2
Alcoholic fatty liver,K70.0,2014,24,11596998,0.2,0.2
Alcoholic fatty liver,K70.0,2015,24,11613423,0.2,0.2
Alcoholic hepatitis,K70.1,2011,37,11545442,0.3,0.3
Alcoholic hepatitis,K70.1,2012,31,11551783,0.3,0.2
Alcoholic hepatitis,K70.1,2013,46,11572232,0.4,0.4
Alcoholic hepatitis,K70.1,2014,35,11596998,0.3,0.3
Alcoholic hepatitis,K70.1,2015,30,11613423,0.3,0.2
Alcoholic cirrhosis of liver,K70.3,2011,382,11545442,3.3,2.8
Alcoholic cirrhosis of liver,K70.3,2012,389,11551783,3.4,2.8
Alcoholic cirrhosis of liver,K70.3,2013,436,11572232,3.8,3.2
Alcoholic cirrhosis of liver,K70.3,2014,427,11596998,3.7,3.1
Alcoholic cirrhosis of liver,K70.3,2015,451,11613423,3.9,3.2
Alcoholic hepatic failure,K70.4,2011,39,11545442,0.3,0.3
Alcoholic hepatic failure,K70.4,2012,38,11551783,0.3,0.3
Alcoholic hepatic failure,K70.4,2013,36,11572232,0.3,0.3
Alcoholic hepatic failure,K70.4,2014,41,11596998,0.4,0.3
Alcoholic hepatic failure,K70.4,2015,45,11613423,0.4,0.4
"Alcoholic liver disease, unspecified",K70.9,2011,66,11545442,0.6,0.5
"Alcoholic liver disease, unspecified",K70.9,2012,58,11551783,0.5,0.4
"Alcoholic liver disease, unspecified",K70.9,2013,58,11572232,0.5,0.4
"Alcoholic liver disease, unspecified",K70.9,2014,76,11596998,0.7,0.6
"Alcoholic liver disease, unspecified",K70.9,2015,60,11613423,0.5,0.5
Acute and subacute hepatic failure,K72.0,2011,16,11545442,0.1 (Unreliable),0.1 (Unreliable)
Acute and subacute hepatic failure,K72.0,2012,13,11551783,0.1 (Unreliable),0.1 (Unreliable)
Acute and subacute hepatic failure,K72.0,2013,19,11572232,0.2 (Unreliable),0.1 (Unreliable)
Acute and subacute hepatic failure,K72.0,2014,22,11596998,0.2,0.2
Acute and subacute hepatic failure,K72.0,2015,24,11613423,0.2,0.1
"Hepatic failure, unspecified",K72.9,2011,126,11545442,1.1,0.9
"Hepatic failure, unspecified",K72.9,2012,111,11551783,1,0.8
"Hepatic failure, unspecified",K72.9,2013,116,11572232,1,0.8
"Hepatic failure, unspecified",K72.9,2014,169,11596998,1.5,1.2
"Hepatic failure, unspecified",K72.9,2015,136,11613423,1.2,1
Primary biliary cirrhosis,K74.3,2011,19,11545442,0.2 (Unreliable),0.1 (Unreliable)
Primary biliary cirrhosis,K74.3,2012,13,11551783,0.1 (Unreliable),0.1 (Unreliable)
Primary biliary cirrhosis,K74.3,2013,22,11572232,0.2,0.2
Primary biliary cirrhosis,K74.3,2015,15,11613423,0.1 (Unreliable),0.1 (Unreliable)
Other and unspecified cirrhosis of liver,K74.6,2011,748,11545442,6.5,5.4
Other and unspecified cirrhosis of liver,K74.6,2012,755,11551783,6.5,5.5
Other and unspecified cirrhosis of liver,K74.6,2013,768,11572232,6.6,5.5
Other and unspecified cirrhosis of liver,K74.6,2014,840,11596998,7.2,5.9
Other and unspecified cirrhosis of liver,K74.6,2015,869,11613423,7.5,6
Autoimmune hepatitis,K75.4,2011,24,11545442,0.2,0.2
Autoimmune hepatitis,K75.4,2012,17,11551783,0.1 (Unreliable),0.1 (Unreliable)
Autoimmune hepatitis,K75.4,2013,21,11572232,0.2,0.2
Autoimmune hepatitis,K75.4,2014,28,11596998,0.2,0.2
Autoimmune hepatitis,K75.4,2015,18,11613423,0.2 (Unreliable),0.1 (Unreliable)
"Inflammatory liver disease, unspecified",K75.9,2013,13,11572232,0.1 (Unreliable),0.1 (Unreliable)
"Fatty (change of) liver, not elsewhere classified",K76.0,2011,60,11545442,0.5,0.5
"Fatty (change of) liver, not elsewhere classified",K76.0,2012,62,11551783,0.5,0.4
"Fatty (change of) liver, not elsewhere classified",K76.0,2013,57,11572232,0.5,0.4
"Fatty (change of) liver, not elsewhere classified",K76.0,2014,72,11596998,0.6,0.5
"Fatty (change of) liver, not elsewhere classified",K76.0,2015,105,11613423,0.9,0.7
Hepatorenal syndrome,K76.7,2011,18,11545442,0.2 (Unreliable),0.1 (Unreliable)
Hepatorenal syndrome,K76.7,2012,17,11551783,0.1 (Unreliable),0.1 (Unreliable)
Hepatorenal syndrome,K76.7,2013,14,11572232,0.1 (Unreliable),0.1 (Unreliable)
Hepatorenal syndrome,K76.7,2014,22,11596998,0.2,0.2
Hepatorenal syndrome,K76.7,2015,12,11613423,0.1 (Unreliable),0.1 (Unreliable)
"Liver disease, unspecified",K76.9,2011,133,11545442,1.2,0.9
"Liver disease, unspecified",K76.9,2012,146,11551783,1.3,1.1
"Liver disease, unspecified",K76.9,2013,133,11572232,1.1,1
"Liver disease, unspecified",K76.9,2014,145,11596998,1.3,1
"Liver disease, unspecified",K76.9,2015,157,11613423,1.4,1.1
Calculus of gallbladder without cholecystitis,K80.2,2011,29,11545442,0.3,0.2
Calculus of gallbladder without cholecystitis,K80.2,2012,23,11551783,0.2,0.2
Calculus of gallbladder without cholecystitis,K80.2,2013,13,11572232,0.1 (Unreliable),0.1 (Unreliable)
Calculus of gallbladder without cholecystitis,K80.2,2014,19,11596998,0.2 (Unreliable),0.1 (Unreliable)
Calculus of gallbladder without cholecystitis,K80.2,2015,11,11613423,0.1 (Unreliable),0.1 (Unreliable)
Calculus of bile duct without cholangitis or cholecystitis,K80.5,2014,10,11596998,0.1 (Unreliable),0.1 (Unreliable)
Calculus of bile duct without cholangitis or cholecystitis,K80.5,2015,11,11613423,0.1 (Unreliable),0.1 (Unreliable)
Acute cholecystitis,K81.0,2011,41,11545442,0.4,0.3
Acute cholecystitis,K81.0,2012,58,11551783,0.5,0.4
Acute cholecystitis,K81.0,2013,31,11572232,0.3,0.2
